"nct_id","disease","drug"
"NCT01974648","Patients Requiring Ambulatory Surgery Under General Anesthesia","propofol and remifentanil"
"NCT01980680","Infertility","Progesterone and Estradiol"
"NCT00545324","Asthma","MK0476 (singulair), montelukast sodium / Duration of Treatment: 6 Weeks"
"NCT00545324","Asthma","Comparator: Fluticasone / Duration of Treatment: 6 Weeks"
"NCT01533272","HIV Infection","Tenofovir, emtricitabine, lopinavir/r"
"NCT02619981","Dental Fear","Maxillary infiltration anesthesia with 2%Lidocaine"
"NCT02090400","Osteoporosis, Postmenopausal","Calcium/Vit D"
"NCT02102620","Hands Osteoarthritis","Intra-articular injection with corticosteroid"
"NCT02102620","Hands Osteoarthritis","Intra-articular injection with lidocaine"
"NCT02103374","Severe Chronic Obstructive Pulmonary Disease","Atrovent + Bricanyl or Atrovent + Ventoline"
"NCT02247128","Bleeding","Aspirin + clopidogrel"
"NCT02247128","Bleeding","OAC + clopicogrel"
"NCT01647347","Bacteraemia Post Debridement","Supra- and subgingival rinsing with 10% PVP-iodine"
"NCT05529290","Temporomandibular Disorder","Dexketoprofen Trometamol + Thiocolchicoside"
"NCT05529290","Temporomandibular Disorder","Dexketoprofen Trometamol + Paracetamol"
"NCT01863147","Newly Diagnosed Type 2 Diabetes","Sitagliptin and acarbose"
"NCT01863147","Coronary Artery Disease","Sitagliptin and acarbose"
"NCT05502081","COVID-19","Casirivimab and Imdevimab Drug Combination"
"NCT01912755","Irreversible Pulpitis","4% articaine with 1:100,000 epinephrine"
"NCT01912755","Irreversible Pulpitis","2% lidocaine with 1:100,000 epinephrine"
"NCT01912755","Pain","4% articaine with 1:100,000 epinephrine"
"NCT01912755","Pain","2% lidocaine with 1:100,000 epinephrine"
"NCT03099863","Urinary Tract Infections","Cystoscopic Fluid/Placebo"
"NCT02433899","Gingival Recession","2.0% Mepivacaine + 1:100.000 epinephrine"
"NCT02386449","Bowel Preparation","sodium picosulfate, magnesium oxide and citric acid (Picoprep®)"
"NCT00632840","Cardiovascular Disease","Atorvastatin and fenofibrate"
"NCT00907101","P Acnes Colonization","Adapalene 0.1%/Benzoyl Peroxide 2.5% Gel (Epiduo® Gel)"
"NCT00437255","Plaque Psoriasis","Calcipotriene and betamethasone dipropionate ointment"
"NCT05606055","HIV-1-infection","BIC/FTC/TAF: Bictegravir/emtricitabina/tenofovir alafenamida fumarato"
"NCT02741219","Postoperative Pain","Sufentanil and dexmedetomidine"
"NCT02734173","Hepatitis C","ABT450r-ABT267-ABT333 +/- Ribavirin"
"NCT02360995","Dental Plaque","Triclosan/fluoride toothpaste"
"NCT02360995","Gingivitis","Triclosan/fluoride toothpaste"
"NCT02683603","Pneumonia, Ventilator-Associated","AS colistin and ""imipenem"""
"NCT02683603","Pneumonia, Ventilator-Associated","IV colistin "" and ""imipenem"" ."
"NCT02683603","Pneumonia, Ventilator-Associated","AS colistin and imipenem"
"NCT02683603","Pneumonia, Ventilator-Associated","IV colistin and imipenem"
"NCT02685436","Gastroesophageal Reflux Disease","Omeprazole and domperidone"
"NCT03666351","Aortic Stenosis","Losartan and Amlodipine"
"NCT03666351","Aortic Stenosis","Amlodipine/Losartan/Chlorthalidone"
"NCT03666351","Aortic Regurgitation","Losartan and Amlodipine"
"NCT03666351","Aortic Regurgitation","Amlodipine/Losartan/Chlorthalidone"
"NCT03666351","Hypertension","Losartan and Amlodipine"
"NCT03666351","Hypertension","Amlodipine/Losartan/Chlorthalidone"
"NCT03666351","LVM","Losartan and Amlodipine"
"NCT03666351","LVM","Amlodipine/Losartan/Chlorthalidone"
"NCT03666351","Left Ventricular Hypertrophy","Losartan and Amlodipine"
"NCT03666351","Left Ventricular Hypertrophy","Amlodipine/Losartan/Chlorthalidone"
"NCT00585910","Attention Deficit Hyperactivity Disorder","Atomoxetine and OROS Methylphenidate"
"NCT02384200","Nephrolithiasis","nitrofurantoin monohydrate/macrocrystalline capsules"
"NCT02384200","Urinary Tract Infections","nitrofurantoin monohydrate/macrocrystalline capsules"
"NCT00739583","Arthroplasty, Replacement, Hip","CHG 2% w/v and IPA 70% v/v"
"NCT00739583","Arthroplasty, Replacement, Hip","Iodophor 0.7% and IPA 74% w/w"
"NCT00821795","Type 2 Diabetes Mellitus","NPH/Regular 70/30 mix"
"NCT00821795","Type 2 Diabetes Mellitus","insulin aspart protamine/insulin aspart 70/30 mix"
"NCT01120704","Adherence","Short Term Combination Nicotine Replacement Therapy (patch + gum)"
"NCT01120704","Adherence","Long Term Combination Nicotine Replacement Therapy (patch + gum)"
"NCT01138735","Acne","adapalene/benzoyl peroxide"
"NCT02533505","Chronic Obstructive Pulmonary Disease (COPD)","Budesonide 160 mcg and formoterol fumarate dihydrate 4.5 mcg Inhalation aerosol"
"NCT02533505","Chronic Obstructive Pulmonary Disease (COPD)","Matching Placebo pMDI 160/4.5 μg"
"NCT00199082","Burkitt's Lymphoma","Dexamethasone/Prednisolone"
"NCT00199082","Burkitt's Lymphoma","Vincristine/Vindesine"
"NCT00199082","Burkitt's Leukemia","Dexamethasone/Prednisolone"
"NCT00199082","Burkitt's Leukemia","Vincristine/Vindesine"
"NCT02571153","Postoperative Pain","Ketamine 0.4 mg/kg"
"NCT02571153","Postoperative Pain","Ketamine 0.2 mg/kg"
"NCT02571153","Postoperative Nausea and Vomiting","Ketamine 0.4 mg/kg"
"NCT02571153","Postoperative Nausea and Vomiting","Ketamine 0.2 mg/kg"
"NCT04069078","Spinal Anesthetics Causing Adverse Effects in Therapeutic Use","Hyoscine Butylbromide 20 Mg/mL Solution for Injection Ampoule"
"NCT04069078","Cesarean Section Complications","Hyoscine Butylbromide 20 Mg/mL Solution for Injection Ampoule"
"NCT02996591","Spinal Anesthesia","Midazolam, 2-5 mg IV + Glycopyrrolate, 0.1 mg IV + Ketamine, 10-20 mg + propofol as needed"
"NCT02996591","Pain","Midazolam, 2-5 mg IV + Glycopyrrolate, 0.1 mg IV + Ketamine, 10-20 mg + propofol as needed"
"NCT02996591","Postoperative Nausea and Vomiting","Midazolam, 2-5 mg IV + Glycopyrrolate, 0.1 mg IV + Ketamine, 10-20 mg + propofol as needed"
"NCT01285050","Hepatitis C","Emtricitabine and tenofovir disoproxil fumarate"
"NCT01246219","Idiopathic Short Stature","1 year treatment with placebo followed by optional 3 years of GH treatment"
"NCT01246219","Self Image","1 year treatment with placebo followed by optional 3 years of GH treatment"
"NCT02696369","Third Molar","2% lidocaine HCl with epinephrine 1:200,000"
"NCT02696369","Third Molar","2% lidocaine HCl with epinephrine 1:80,000"
"NCT03036059","Lymphatic Filariasis","400 μg/kg Ivermectin + 400 mg Albendazole"
"NCT02547896","Impacted Third Molar Tooth","Codeine + Diclofenac"
"NCT02507661","Partial Edentulism","preservation of alveolar ridge with beta tricalcium phosphate + collagen - 2 months"
"NCT02507661","Partial Edentulism","preservation of alveolar ridge with beta tricalcium phosphate + collagen - 4 months"
"NCT02494856","Other Surgical Procedures","Surgery with Naproxen"
"NCT02494856","Other Surgical Procedures","Surgery with Naproxen and Esomeprazole"
"NCT02494856","Impacted Third Molar Tooth","Surgery with Naproxen"
"NCT02494856","Impacted Third Molar Tooth","Surgery with Naproxen and Esomeprazole"
"NCT02461030","Dentin Sensitivity","In-office and at home Colgate sensitive pro-relief - CSPR"
"NCT02461030","Dentin Sensitivity","In-office Villevie® prophy paste + Colgate Toothpaste"
"NCT02461030","Periodontal Diseases","In-office and at home Colgate sensitive pro-relief - CSPR"
"NCT02461030","Periodontal Diseases","In-office Villevie® prophy paste + Colgate Toothpaste"
"NCT03141554","Oral Health","1% Betadine® PVP-I based mouth wash and gargle,"
"NCT04677712","Cellulite","QWO™(CCH-aaes) + No Mitigation Treatment"
"NCT04677712","Cellulite","QWO™(CCH-aaes) + Compression"
"NCT03401515","Traumatic Brain Injury","Propranolol Hydrochloride 1 MG/ML"
"NCT01525043","Epicondylitis of the Elbow","Synera patch for 12hrs/day"
"NCT02172729","Healthy","Adductor canal block with 20 ml lidocaine, single bolus"
"NCT02175485","Rhinitis Allergic","Fexofenadine HCl 30 mg+Pseudophedrine HCl 60 mg"
"NCT00384904","HIV Infections","Atazanavir/Ritonavir"
"NCT00384904","HIV Infections","Atazanavir/Ritonavir + Famotidine"
"NCT00384904","HIV Infections","Atazanavir/Ritonavir + Famotidine"
"NCT00384904","HIV Infections","Atazanavir/Ritonavir"
"NCT00384904","HIV Infections","Atazanavir/Ritonavir + Tenofovir Disproxil Fumrarate + Famotidine"
"NCT00384904","HIV Infections","Atazanavir/Ritonavir + Tenofovir Disproxil Fumrarate + Famotidine"
"NCT01545765","Healthy Volunteers","Lidocaine 7% + Tetracaine 7% cream"
"NCT01550471","Asthma","Alvesco/Omnaris, QVAR/Beconase, Placebo/Placebo"
"NCT01550471","Asthma","Alvesco/Omnaris, Placebo/Placebo, QVAR/Beconase"
"NCT01550471","Asthma","QVAR/Beconase, Alvesco/Omnaris, Placebo/Placebo"
"NCT01550471","Asthma","QVAR/Beconase, Placebo/Placebo, Alvesco/Omnaris"
"NCT01550471","Asthma","Placebo/Placebo, Alvesco/Omnaris, QVAR/Beconase"
"NCT01550471","Asthma","Placebo/Placebo, QVAR/Beconase, Alvesco/Omnaris"
"NCT02894528","Alveolar Process","BioMend and ReproBone"
"NCT03431584","Rhizarthrosis","infiltration of corticosteroids and hyaluronic acid"
"NCT03897452","Pain","Fentanyl (5 microgram/ml) prediluted ampoules"
"NCT03896971","Aplastic Anemia","Combination of thrombopoietin mimetic and cyclosporin A"
"NCT00794885","Primary Hypertension","Enalapril/folic acid"
"NCT02141217","Focal Infection, Dental","Amoxicillin/clavulanate"
"NCT03833947","Anesthesia","lignocaine+bicarbonate"
"NCT03833947","Anesthesia","lignocaine+dexamethasone"
"NCT03833947","Anesthesia; Adverse Effect","lignocaine+bicarbonate"
"NCT03833947","Anesthesia; Adverse Effect","lignocaine+dexamethasone"
"NCT03833947","Anesthesia Intubation Complication","lignocaine+bicarbonate"
"NCT03833947","Anesthesia Intubation Complication","lignocaine+dexamethasone"
"NCT00670930","Allergic Asthma","omalizumab at a dose of 0.016mg/kg/IU/mL"
"NCT00664534","Diabetes Mellitus, Type 2","Insulin Lispro Premix (mid-mixture and low-mixture)"
"NCT03383328","Irvine-Gass Syndrome","NSAID + prednisolone, preoperative"
"NCT03383328","Irvine-Gass Syndrome","NSAID + prednisolone, postoperative"
"NCT00594646","HIV Infections","TRUVADA + Raltegravir"
"NCT00561392","Alzheimer's Disease","Rivastigmine 5 and 10 cm^2 patch"
"NCT00498368","IgA Nephropathy","ACE/ARB"
"NCT03723447","Pain, Postoperative","Bupivacaine/epinephrine/dexamethasone"
"NCT03723447","Crohn Disease","Bupivacaine/epinephrine/dexamethasone"
"NCT03723447","Inflammatory Bowel Diseases","Bupivacaine/epinephrine/dexamethasone"
"NCT03723447","Colorectal Cancer","Bupivacaine/epinephrine/dexamethasone"
"NCT03723447","Gastrointestinal Cancer","Bupivacaine/epinephrine/dexamethasone"
"NCT03723447","Gastrointestinal Disease","Bupivacaine/epinephrine/dexamethasone"
"NCT03723447","Digestive System Disease","Bupivacaine/epinephrine/dexamethasone"
"NCT03723447","Pain","Bupivacaine/epinephrine/dexamethasone"
"NCT03723447","Pain, Neuropathic","Bupivacaine/epinephrine/dexamethasone"
"NCT00485069","Parkinson Disease","ROP+L-Dopa"
"NCT01219101","Infertility","clomiphene citrate with ethinyl esteradiol"
"NCT01219101","Infertility","clomiphene citrate with plasebo"
"NCT00359788","Pulmonary Disease, Chronic Obstructive","Combivent (Ipratropium/Albuterol)"
"NCT03309566","Healthy","Efavirenz, tenofovir disoproxil fumarate and emtricitabine"
"NCT03852862","Anesthesia","Serratus plane block and paravertebral block"
"NCT01904110","Osteoporosis","Risedronate/Cholecalciferol combination(montly)"
"NCT01904110","Osteoporosis","Risedronate/Cholecalciferol combination(weekly)"
"NCT05055726","Head and Neck Cancer","Benzydamine Hydrochloride 0.15% w/v oromucosal solution"
"NCT01327599","Open-Angle Glaucoma","Travoprost 0.004%+Timolol 0.5% ophthalmic solution"
"NCT01327599","Ocular Hypertension","Travoprost 0.004%+Timolol 0.5% ophthalmic solution"
"NCT03989557","Unruptured Intracranial Aneurysm","Aspirin and clopidogrel/Ticagrelor"
"NCT03989557","Unruptured Intracranial Aneurysm","Aspirin and clopidogrel/Ticagrelor"
"NCT03989557","Stents","Aspirin and clopidogrel/Ticagrelor"
"NCT03989557","Stents","Aspirin and clopidogrel/Ticagrelor"
"NCT03989557","Antiplatelet Drugs","Aspirin and clopidogrel/Ticagrelor"
"NCT03989557","Antiplatelet Drugs","Aspirin and clopidogrel/Ticagrelor"
"NCT03378479","Aspergillosis; Pulmonary, Invasive (Etiology)","SOC +Posaconazole 18 MG/ML (milligram/milliliter)"
"NCT02100228","Atrial Fibrillation","Parenteral heparin and/or oral Vitamin K antagonist"
"NCT02099838","Diabetes Mellitus, Type 2","Pioglitazone and Metformin"
"NCT01089023","Rheumatoid Arthritis","tocilizumab [RoActemra/Actemra]"
"NCT02041546","Meconium Aspiration Syndrome","Lung lavage with surfactant"
"NCT02060604","Wet Macular Degeneration","Ketorolac + Ranibizumab"
"NCT02782312","Bronchiectasis","ICS+LABA"
"NCT01273818","Inguinal Hernia","Gentamicin and cefazolin"
"NCT01718093","Type 1 Diabetes","Sitagliptin + Metformin"
"NCT01544114","Juvenile Idiopathic Arthritis (JIA)","VIMOVO 250/20"
"NCT01544114","Juvenile Idiopathic Arthritis (JIA)","VIMOVO 375/20"
"NCT01544114","Juvenile Idiopathic Arthritis (JIA)","VIMOVO 500/20"
"NCT01763749","Coronary Artery Disease","Plavix with Astrix"
"NCT01705249","Menopause","1.0 mg estradiol / 0.5 mg norethisterone acetate (NETA)"
"NCT01705249","Healthy","1.0 mg estradiol / 0.5 mg norethisterone acetate (NETA)"
"NCT01079988","Psoriasis","Systemic corticosteroids/methotrexate"
"NCT01155219","Glaucoma","Geltim LP 1 mg/g"
"NCT00818610","Community-acquired Pneumonia","Beta lactam (amoxicillin / clav. acid OR cefuroxime)"
"NCT00818610","Community-acquired Pneumonia","Beta-lactam (amoxicillin / clav. acid OR cefuroxime) AND macrolide (clarithromycin)"
"NCT00819104","Primary Hypertension","Metoprolol XL 50mg + Amlodipine 5mg"
"NCT00819104","Primary Hypertension","Metoprolol XL 25 mg + Amlodipine 2.5mg"
"NCT00841880","Hypertension","Ramipril + Felodipine"
"NCT00841919","Diabetes Mellitus, Type 2","NPH insulin and regular insulin"
"NCT00871104","Infective Endocarditis","Fosfomycin and imipenem"
"NCT00901875","Opiate Dependence","Buprenorphine + naloxone (Suboxone)"
"NCT04677712","Cellulite","QWO™(CCH-aaes) + Cold Packs"
"NCT04677712","Cellulite","QWO™(CCH-aaes) + Arnica gel"
"NCT04677712","Cellulite","QWO™(CCH-aaes) + INhance®"
"NCT04677712","Cellulite","QWO™(CCH-aaes) + PDL"
"NCT00653835","Hypercholesterolaemia","Ezetimibe + Simvastatin"
"NCT00653835","Atherosclerosis","Ezetimibe + Simvastatin"
"NCT00653796","Hypercholesterolemia","Ezetimibe + Atorvastatin"
"NCT00653796","Atherosclerosis","Ezetimibe + Atorvastatin"
"NCT03421860","Cardiac Output, Low","cardiac output changes with ""ephedrine"""
"NCT03421860","Cardiac Output, Low","cardiac output changes with ""phenylephrine"""
"NCT03421860","Cardiac Output, Low","cardiac output changes with ""ondansetron"""
"NCT03421860","Cardiac Output, Low","cardiac output changes with ""nor-epinephrine"""
"NCT02938377","HIV Positive","Recommendation and Counseling for Alcohol Pharmacotherapy"
"NCT03948022","Luteal Phase Defect","Progesterone 50Mg/mL Oil"
"NCT03178643","Malaria,Falciparum","Sulfadoxine/Pyrimethanine-Amodiaquine (SP-AQ)"
"NCT03007121","Analgesia, Patient-Controlled","Bupivacaine + Sufentanil epidural"
"NCT03007121","Epidural Analgesia","Bupivacaine + Sufentanil epidural"
"NCT02907749","Cirrhosis","Spironolactone and carvedilol"
"NCT02907749","Portal Hypertension","Spironolactone and carvedilol"
"NCT02247440","HIV","Peg-interferon + ribavirin under HIV physician supervision"
"NCT03071601","Pain, Acute","Lidocaine 1% Epinephrine 0.005mg/mL solution"
"NCT03071601","Laceration","Lidocaine 1% Epinephrine 0.005mg/mL solution"
"NCT01574807","Pain","mepivacaine + lidocaine followed by lidocaine +lidocaine"
"NCT01574807","Pain","lidocaine + lidocaine followed by mepivacaine + lidocaine"
"NCT00793754","Diabetes Mellitus","Aspirin + Atorvastatin"
"NCT03776838","Gynecologic Laparoscopic Surgery","Intravenous Fentanyl guided by SoC+NOL"
"NCT03776838","Hysterectomy","Intravenous Fentanyl guided by SoC+NOL"
"NCT03776838","Oophorectomy","Intravenous Fentanyl guided by SoC+NOL"
"NCT03747978","Diabetes Mellitus, Type 2","Perindopril and Amlodipine"
"NCT03747978","Hypertension","Perindopril and Amlodipine"
"NCT04394377","Coronavirus Infection","Group 1: Rivaroxaban 20mg/d followed by enoxaparin/unfractionated heparin when needed"
"NCT04394377","Coronavirus Infection","Group 2: control group with enoxaparin 40mg/d"
"NCT03325647","Klinefelter Syndrome","Testosterone Cypionate 200 Milligram/Milliliter Injectable Solution"
"NCT03219840","Plaque, Dental","Cetylpyridinium Chloride (CPC) 0.09% + Xylitol chewing gum"
"NCT03219840","Periodontal Diseases","Cetylpyridinium Chloride (CPC) 0.09% + Xylitol chewing gum"
"NCT01344395","Pain, Postoperative","ropivacaine and ketorolac"
"NCT00795223","Post Operative Pain","morphine and bupivacaine"
"NCT00795223","Post Operative Pain","spinal morphine and marcaine"
"NCT00795223","Post Operative Pain","morphine and bupivacaine"
"NCT00795223","Post Operative Pain","morphine and bupivacaine"
"NCT03998696","Head and Neck Squamous Cell Carcinoma","Cisplatin 40 mg/m2"
"NCT03998696","Head and Neck Squamous Cell Carcinoma","Cisplatin 100 mg/m2"
"NCT00795223","Total Knee Replacement","morphine and bupivacaine"
"NCT00795223","Total Knee Replacement","spinal morphine and marcaine"
"NCT00795223","Total Knee Replacement","morphine and bupivacaine"
"NCT00795223","Total Knee Replacement","morphine and bupivacaine"
"NCT01501487","Breast Cancer","T + trastuzumab followed by CEF + trastuzumab"
"NCT01501487","Breast Cancer","Dose dense AC followed by T + trastuzumab"
"NCT01501487","Breast Cancer","Dose dense AC followed by T + trastuzumab + pertuzumab"
"NCT03630198","Keloid","Corticosteroid with lidocaine"
"NCT03630198","Keloid","Corticosteroid with normal saline"
"NCT03630198","Alopecia Areata","Corticosteroid with lidocaine"
"NCT03630198","Alopecia Areata","Corticosteroid with normal saline"
"NCT03630198","Acne","Corticosteroid with lidocaine"
"NCT03630198","Acne","Corticosteroid with normal saline"
"NCT03630198","Hypertrophic Scar","Corticosteroid with lidocaine"
"NCT03630198","Hypertrophic Scar","Corticosteroid with normal saline"
"NCT03630198","Epidermal Inclusion Cyst","Corticosteroid with lidocaine"
"NCT03630198","Epidermal Inclusion Cyst","Corticosteroid with normal saline"
"NCT03630198","Frontal Fibrosing Alopecia","Corticosteroid with lidocaine"
"NCT03630198","Frontal Fibrosing Alopecia","Corticosteroid with normal saline"
"NCT03630198","Lichen Plano-Pilaris","Corticosteroid with lidocaine"
"NCT03630198","Lichen Plano-Pilaris","Corticosteroid with normal saline"
"NCT00891293","Hypertriglyceridemia","Antara (fenofibrate) + Lovaza (omega-3-acid ethyl esters)"
"NCT00853957","Hypertension","Aliskiren/Amlodipine"
"NCT00845676","Hepatitis C","Pegylated interferon alfa-2a + Ribavirin"
"NCT00845676","Human Immunodeficiency Virus","Pegylated interferon alfa-2a + Ribavirin"
"NCT00845676","HIV Infections","Pegylated interferon alfa-2a + Ribavirin"
"NCT00827931","Biliary Tract Surgical Procedures","Tranexamic acid + Standard of Care"
"NCT00827931","Pancreaticoduodenectomy","Tranexamic acid + Standard of Care"
"NCT00827931","Colectomy","Tranexamic acid + Standard of Care"
"NCT00827931","Gastrectomy","Tranexamic acid + Standard of Care"
"NCT00795808","Polycystic Ovary Syndrome","Metformin + Clomiphene"
"NCT01401049","Pain","Propofol/Lidocaine"
"NCT00393705","Diabetes Mellitus, Type 2","Insulin Biphasic Aspart 30/70"
"NCT02200653","Hypertension","Low dose of COZAAR® / LORZAAR®, once daily"
"NCT02200653","Hypertension","High dose of COZAAR® / LORZAAR®, once daily"
"NCT02576626","COPD","indacaterol/glycopyrronium 110/50 Breezhaler®"
"NCT02576626","COPD","ipratropium/salbutamol 0,5 mg, 2,5 mg by nebulisation"
"NCT03133065","Liver Transplantation","treatment of HCV with oral direct acting antiviral therapy"
"NCT03120936","Transgender Persons","Emtricitabine / Tenofovir Disoproxil Oral Tablet"
"NCT03120936","Pre-Exposure Prophylaxis","Emtricitabine / Tenofovir Disoproxil Oral Tablet"
"NCT00998335","Type 2 Diabetes","Insulin detemir and pre-meal insulin aspart."
"NCT01563185","Juvenile Idiopathic Arthritis","800 mg ibuprofen/26.6 mg famotidine"
"NCT01563172","Dental Caries","Sodium fluoride / silica and carbopol, 0.5g"
"NCT01563172","Dental Caries","Sodium fluoride / silica and carbopol, 1.5g"
"NCT01563172","Dental Caries","Sodium fluoride / silica and carbopol, 1.5g"
"NCT02031289","Anemia","Erythropoietin/Ferric carboxymaltose/Vitamin B12/Folic Acid"
"NCT02031289","Iron Deficiency","Erythropoietin/Ferric carboxymaltose/Vitamin B12/Folic Acid"
"NCT02079298","Ductus Arteriosis, Patent","Treatment with fluconazole."
"NCT02079298","Ductus Arteriosis, Patent","2. Treatment with both fluconazole and Ibuprofen."
"NCT02079298","Ductus Arteriosis, Patent","3. Treatment with ibuprofen."
"NCT02079298","Bacterial Infections and Mycoses","Treatment with fluconazole."
"NCT02079298","Bacterial Infections and Mycoses","2. Treatment with both fluconazole and Ibuprofen."
"NCT02079298","Bacterial Infections and Mycoses","3. Treatment with ibuprofen."
"NCT01540838","Bacterial Meningitis","Infusion with paracetamol"
"NCT01761994","Acute Kidney Injury","Anticoagulation with nafamostat mesilate"
"NCT03063879","Hepatitis C, Chronic","Sofosbuvir 400 mg and daclatasvir 60 mg"
"NCT03063879","Chronic Renal Failure","Sofosbuvir 400 mg and daclatasvir 60 mg"
"NCT01188668","CYP3A4 Protein, Human","Aripiprazole + desvenlafaxine succinate sustained release"
"NCT01178853","Healthy","Warfarin 5mg + Rosuvastatin 40 mg once daily (QD)"
"NCT01178853","Healthy","Warfarin 5 mg + Pitavastatin 4mg once daily (QD)"
"NCT03040830","Progesterone Luteal Support in ICSI","Progesterone 100 IM/day"
"NCT03040830","Embryo Transfer","Progesterone 100 IM/day"
"NCT02135146","Kidney Injury","Plasmalyte 3ml/kg/hr group"
"NCT02135146","Kidney Injury","Plasmalyte 6ml/kg/hr group"
"NCT04061824","Hypertension","Olostar Tab (olmesartan/rosuvastatin FDC(fixed dose combination))"
"NCT04061824","Hypertension","Two separated drugs(ARB(Angiotensin Ⅱ receptor blocker) and statin)"
"NCT04061824","Dyslipidemias","Olostar Tab (olmesartan/rosuvastatin FDC(fixed dose combination))"
"NCT04061824","Dyslipidemias","Two separated drugs(ARB(Angiotensin Ⅱ receptor blocker) and statin)"
"NCT01838616","Low Back Pain","Oxycodone/Naloxone Prolonged Release"
"NCT01838616","Neuropathic Pain","Oxycodone/Naloxone Prolonged Release"
"NCT04345276","COVID-19","Danoprevir+Ritonavir"
"NCT00684073","Opiate-related Disorders","buprenorphine/naloxone"
"NCT00684073","Opiate Dependence","buprenorphine/naloxone"
"NCT00492232","Chronic Insomnia","Ramelteon and zolpidem"
"NCT00492232","Chronic Insomnia","Placebo and zolpidem"
"NCT01817322","Chronic Renal Disease","Standard Dose of Myfortic and Reduced Dose of Myfortic"
"NCT01817322","Chronic Renal Disease","Prednisolone OR methylprednisolone OR deflazacort injected both control group and experimental group"
"NCT01817322","Chronic Renal Disease","Basiliximab injected both control group and experimental group"
"NCT02021851","Postoperative Nausea and Vomiting","Dexamethasone and aprepitant"
"NCT02021851","Postoperative Nausea and Vomiting","Dexamethasone and ondansetron"
"NCT00734929","Postoperative Nausea and Vomiting","Aprepitant + Dexamethasone"
"NCT00734929","Postoperative Nausea and Vomiting","Ondansetron + Dexamethasone"
"NCT02062645","Essential Hypertension","amlodipine/valsartan"
"NCT01987427","Chronic Weight Management","lorcaserin + phentermine placebo"
"NCT01987427","Chronic Weight Management","lorcaserin + phentermine-HCl + phentermine placebo"
"NCT01987427","Chronic Weight Management","lorcaserin + phentermine-HCl"
"NCT01864174","Type 2 Diabetes Mellitus","Placebo matching with Metformin XR"
"NCT01864174","Type 2 Diabetes Mellitus","Placebo matching with Metformin IR"
"NCT01859702","Cataract","Moxifloxacin 0.5%/Dexamethasone 0.1% ophthalmic solution"
"NCT01691482","Pulmonary Disease, Chronic Obstructive","Albuterol/salbutamol"
"NCT01747746","Atrial Fibrillation","Warfarin and Enoxaparin"
"NCT01747746","Stroke","Warfarin and Enoxaparin"
"NCT01747746","Thrombo-embolism","Warfarin and Enoxaparin"
"NCT01747746","Bleeding","Warfarin and Enoxaparin"
"NCT01106534","Chronic Total Occlusion of Coronary Artery","placebo + aspirin"
"NCT01106534","Chronic Total Occlusion of Coronary Artery","clopidogrel + aspirin OR prasugrel + aspirin"
"NCT01106534","Vascular Disease","placebo + aspirin"
"NCT01106534","Vascular Disease","clopidogrel + aspirin OR prasugrel + aspirin"
"NCT01106534","Myocardial Ischemia","placebo + aspirin"
"NCT01106534","Myocardial Ischemia","clopidogrel + aspirin OR prasugrel + aspirin"
"NCT02085577","Analgesics","(S)-(+)-Ketamine Hydrochloride Solution 25 mg/ml"
"NCT02085577","Analgesics","Morphine Sulphate 1 mg/ml"
"NCT02085577","Analgesics","Morphine Sulphate 1 mg/ml"
"NCT02085577","Analgesics","Ondansetron 2 mg/ml"
"NCT02085577","Analgesics","Morphine Sulphate 1 mg/ml"
"NCT02085577","Analgesics","Sufentanil 5 microgram/ml"
"NCT00800761","Iron Overload","Deferoxamine and Deferiprone"
"NCT00800761","Cardiomyopathy","Deferoxamine and Deferiprone"
"NCT02237079","Postmenopausal Symptoms","Bazedoxifene/Conjugated Estrogens (BZA/CE)"
"NCT01471340","Asthma","Mometasone Furoate/Formoterol MDI 100/5 mcg"
"NCT01471340","Asthma","Mometasone Furoate/Formoterol MDI 200/5 mcg"
"NCT01471340","Asthma","Albuterol 90 mcg /salbutamol 100 mcg HFA MDI"
"NCT01471340","Asthma","Prednisone/prednisolone"
"NCT01466673","Acne Vulgaris","Ethinyl estradiol/Norgestimate (EE/NGM)"
"NCT01466673","Acne Vulgaris","Ethinyl estradiol/Desogestrel (EE/DSG)"
"NCT01727414","ADHD - Inattentive Type","OROS-Methylphenidate and placebo for inattentive type pts"
"NCT01727414","ADHD - Inattentive Type","OROS-Methylphenidate and placebo for combined type pts"
"NCT01727414","ADHD - Combined Type","OROS-Methylphenidate and placebo for inattentive type pts"
"NCT01727414","ADHD - Combined Type","OROS-Methylphenidate and placebo for combined type pts"
"NCT00815048","Endotracheal Intubation","Atropine/Remifentanil"
"NCT00815048","Endotracheal Intubation","Fentanyl/Atropine/Succinylcholine"
"NCT00860704","Goal Directed Fluid Therapy","fluidotherapy with ringer-lactate"
"NCT00861016","Hypertension","metoprolol succinate prolonged-release tablet and felodipine"
"NCT00115492","Pulmonary Disease, Chronic Obstructive","Fluticasone Propionate/Salmeterol Combination Product"
"NCT00866021","HIV/HCV Co-infection","Lopinavir/ritonavir"
"NCT00866021","HIV/HCV Co-infection","Lopinavir/ritonavir with two nucleoside analogs"
"NCT00866021","HIV Infections","Lopinavir/ritonavir"
"NCT00866021","HIV Infections","Lopinavir/ritonavir with two nucleoside analogs"
"NCT00901875","Opiate Dependence","Buprenorphine + naloxone (Suboxone)"
"NCT00904202","HIV Neuropathy","Placebo Capsules + Placebo Patch"
